"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"The Root Network USD","0.020053","-0.000475","-2.31%","240.63M","2.465M","12B","2024-10-13 13:14:34"
"Gravity USD","0.033172","-0.001221","-3.55%","239.922M","8.196M","7.233B","2024-10-13 13:14:46"
"Mask Network USD","2.3879","+0.0137","+0.58%","238.787M","16.408M","100M","2024-10-13 13:14:46"
"Ravencoin USD","0.016598","-0.000683","-3.95%","238.72M","9.598M","14.383B","2024-10-13 13:14:46"
"ssv.network USD","21.07","-0.69","-3.19%","238.752M","8.657M","11.334M","2024-10-13 13:14:46"
"Aethir USD","0.058342","-0.001674","-2.79%","236.677M","18.61M","4.057B","2024-10-13 13:14:46"
"Threshold USD","0.023690","-0.000652","-2.68%","236.02M","3.616M","9.963B","2024-10-13 13:14:46"
"Tribe USD","0.428757","-0.029954","-6.53%","231.995M","3,744","541.087M","2024-10-13 13:14:46"
"SUNDOG USD","0.231050","-0.001804","-0.77%","230.454M","67.72M","997.422M","2024-10-13 13:14:46"
"USDB USD","0.996163","-0.001291","-0.13%","228.926M","2.947M","229.808M","2024-10-13 13:14:46"
"Ponke USD","0.405911","+0.037313","+10.12%","225.502M","21.519M","555.544M","2024-10-13 13:14:46"
"io.net USD","1.8628","-0.0689","-3.57%","224.076M","47.517M","120.287M","2024-10-13 13:14:47"
"UMA USD","2.6683","-0.0575","-2.11%","222.878M","14.453M","83.528M","2024-10-13 13:14:47"
"Scroll USD","1.1684","+0.0029","+0.25%","222.001M","5.63M","190M","2024-10-13 13:14:47"
"Rocket Pool USD","10.68","-0.03","-0.32%","221.722M","4.344M","20.754M","2024-10-13 13:14:47"
"Ultima USD","6,838.88","+167.30","+2.51%","219.049M","5.725M","32,030","2024-10-13 13:14:47"
"Banana Gun USD","63.67","+1.54","+2.47%","219.003M","50.114M","3.439M","2024-10-13 13:14:47"
"Tethereum USD","0.056343","+0.003118","+5.86%","218.54M","6,509","3.879B","2024-10-13 13:14:47"
"Chia USD","15.87","-0.25","-1.56%","218.009M","4.436M","13.733M","2024-10-13 13:14:47"
"Restaked Swell Ethereum USD","2,505.38","+9.00","+0.36%","213.273M","1.488M","85,126","2024-10-13 13:14:47"
"GMX USD","21.49","-0.25","-1.14%","209.183M","7.316M","9.735M","2024-10-13 13:14:47"
"MimbleWimbleCoin USD","19.04","+0.05","+0.28%","208.766M","2,233","10.966M","2024-10-13 13:14:47"
"Decred USD","12.65","-0.11","-0.83%","207.248M","1.005M","16.378M","2024-10-13 13:14:47"
"Polymesh USD","0.230158","-0.008707","-3.65%","206.285M","7.316M","896.278M","2024-10-13 13:14:47"
"Metis USD","33.75","-1.13","-3.24%","205.932M","7.519M","6.101M","2024-10-13 13:14:47"
"dYdX (ethDYDX) USD","0.918290","-0.006247","-0.68%","202.068M","12.626M","220.048M","2024-10-13 13:14:47"
"OriginTrail USD","0.484475","-0.013102","-2.63%","201.04M","1.323M","414.964M","2024-10-13 13:14:47"
"SKALE USD","0.036150","-0.000480","-1.31%","200.231M","13.886M","5.539B","2024-10-13 13:14:47"
"SushiSwap USD","0.754055","-0.003589","-0.47%","196.977M","13.402M","261.223M","2024-10-13 13:14:47"
"Flux USD","0.524927","-0.010101","-1.89%","195.83M","4.456M","373.061M","2024-10-13 13:14:47"
"Sun [New] USD","0.020045","-0.000335","-1.65%","195.637M","21.712M","9.76B","2024-10-13 13:14:47"
"Qubic USD","0.00000171","-0.00000002","-0.96%","195.503M","1.329M","114.526T","2024-10-13 13:14:47"
"Gomining USD","0.454619","+0.003172","+0.70%","189.187M","8.423M","416.143M","2024-10-13 13:14:47"
"Harmony USD","0.013202","+0.000158","+1.21%","187.663M","6.052M","14.215B","2024-10-13 13:14:47"
"Blast USD","0.008855","-0.000224","-2.46%","186.333M","10.424M","21.044B","2024-10-13 13:14:47"
"Mr Mint USD","0.531773","+0.004395","+0.83%","186.044M","289,452","349.856M","2024-10-13 13:14:47"
"MAGA USD","4.1311","-0.5573","-11.89%","181.759M","5.088M","43.997M","2024-10-13 13:14:47"
"Yield Guild Games USD","0.473892","-0.012249","-2.52%","181.702M","18.096M","383.425M","2024-10-13 13:14:48"
"Wrapped Solana USD","147.54","+0.53","+0.36%","181.398M","780.248M","1.229M","2024-10-13 13:14:48"
"Convex Finance USD","1.8235","-0.0311","-1.68%","180.347M","2.983M","98.901M","2024-10-13 13:14:48"
"Open Campus USD","0.544031","-0.014391","-2.58%","179.445M","5.201M","329.844M","2024-10-13 13:14:48"
"Illuvium USD","36.61","-1.24","-3.27%","178.651M","7.199M","4.88M","2024-10-13 13:14:48"
"RETARDIO USD","0.178358","+0.051957","+41.11%","174.018M","22.941M","975.671M","2024-10-13 13:14:48"
"Biconomy USD","0.20782","-0.00210","-1.00%","177.575M","5.592M","854.465M","2024-10-13 13:14:48"
"Storj USD","0.451284","+0.000565","+0.13%","177.005M","17.784M","392.226M","2024-10-13 13:14:48"
"Frax Share USD","2.1282","-0.0051","-0.24%","175.962M","8.584M","82.682M","2024-10-13 13:14:48"
"Rootstock Smart Bitcoin USD","62,719.51","-354.85","-0.56%","175.234M","12","2,793","2024-10-13 13:14:48"
"Rollbit Coin USD","0.071942","-0.000628","-0.87%","173.736M","727,052","2.415B","2024-10-13 13:14:48"
"INFAM USD","183.23","+0.89","+0.49%","173.697M","3.155M","947,971","2024-10-13 13:14:48"
"COTI USD","0.100146","-0.002417","-2.36%","172.056M","8.012M","1.718B","2024-10-13 13:14:48"
"Band Protocol USD","1.1301","-0.0276","-2.39%","171.833M","3.058M","152.047M","2024-10-13 13:14:48"
"Simon's Cat USD","0.000026","-0.000000","-0.53%","172.162M","19.656M","6.75T","2024-10-13 13:14:48"
"Centrifuge USD","0.341033","+0.002746","+0.81%","171.303M","518,371","502.306M","2024-10-13 13:14:48"
"Solar USD","0.275316","-0.010771","-3.76%","170.735M","59.432M","620.142M","2024-10-13 13:14:48"
"Ontology USD","0.188012","-0.004940","-2.56%","170.658M","7.66M","907.698M","2024-10-13 13:14:48"
"Delysium USD","0.177320","-0.002184","-1.22%","170.401M","7.84M","960.981M","2024-10-13 13:14:48"
"Loopring USD","0.122403","-0.002427","-1.94%","167.301M","4.964M","1.367B","2024-10-13 13:14:48"
"Tellor USD","63.47","-1.17","-1.81%","166.283M","15.883M","2.62M","2024-10-13 13:14:48"
"yearn.finance USD","4,881.53","-111.19","-2.23%","163.803M","11.219M","33,555","2024-10-13 13:14:48"
"Kadena USD","0.553635","+0.000563","+0.10%","162.16M","5.781M","292.901M","2024-10-13 13:14:48"
"PAAL AI USD","0.196007","-0.011803","-5.68%","160.633M","1.237M","819.528M","2024-10-13 13:14:48"
"NEM USD","0.017606","-0.000279","-1.56%","158.452M","3.166M","9B","2024-10-13 13:14:48"
"SwissBorg USD","0.160887","-0.000001","-0.00%","158.269M","642,459","983.73M","2024-10-13 13:14:49"
"Alchemy Pay USD","0.019093","-0.000627","-3.18%","157.096M","5.926M","8.228B","2024-10-13 13:14:49"
"Radix USD","0.014859","+0.000131","+0.89%","157.023M","1.125M","10.568B","2024-10-13 13:14:49"
"Wrapped AVAX USD","29.06","+0.45","+1.58%","156.113M","38.503M","5.372M","2024-10-13 13:14:49"
"Audius USD","0.122798","-0.000755","-0.61%","155.678M","3.722M","1.268B","2024-10-13 13:14:49"
"Metaplex USD","0.422980","-0.018997","-4.30%","155.178M","2.029M","366.869M","2024-10-13 13:14:49"
"Destra Network USD","0.160168","+0.007549","+4.95%","154.981M","872,371","967.617M","2024-10-13 13:14:49"
"Creditcoin USD","0.402607","-0.007623","-1.86%","153.83M","3.174M","382.086M","2024-10-13 13:14:49"
"Civic USD","0.152657","-0.005323","-3.37%","152.657M","27.844M","1B","2024-10-13 13:14:49"
"VeThor Token USD","0.001855","-0.000004","-0.19%","151.459M","1.456M","81.636B","2024-10-13 13:14:49"
"Moonbeam USD","0.164720","-0.003261","-1.94%","150.437M","3.207M","913.287M","2024-10-13 13:14:49"
"Bitkub Coin USD","2.1829","-0.0232","-1.05%","150.564M","573,335","68.975M","2024-10-13 13:14:49"
"Arcblock USD","1.5134","+0.0094","+0.62%","149.155M","530,999","98.554M","2024-10-13 13:14:49"
"Chromia USD","0.179268","-0.002555","-1.41%","148.685M","6.37M","829.397M","2024-10-13 13:14:49"
"USDJ USD","1.1446","-0.0023","-0.20%","147.956M","144,249","129.259M","2024-10-13 13:14:49"
"Degen USD","0.010449","+0.000614","+6.25%","148.159M","26.294M","14.18B","2024-10-13 13:14:49"
"Casper USD","0.011883","-0.000219","-1.81%","147.004M","2.842M","12.371B","2024-10-13 13:14:49"
"Pixels USD","0.131422","-0.002527","-1.89%","146.344M","18.292M","1.114B","2024-10-13 13:14:49"
"Hivemapper USD","0.053746","-0.002209","-3.95%","146.14M","518,044","2.719B","2024-10-13 13:14:49"
"BounceBit USD","0.312555","-0.011941","-3.68%","144.625M","24.121M","462.719M","2024-10-13 13:14:49"
"ICON USD","0.141034","-0.002379","-1.66%","144.299M","1.992M","1.023B","2024-10-13 13:14:49"
"Solayer SOL USD","151.63","+0.66","+0.44%","144.046M","296,150","949,993","2024-10-13 13:14:49"
"Chintai USD","0.147005","-0.003447","-2.29%","143.042M","263,259","973.041M","2024-10-13 13:14:49"
"Xai USD","0.210904","-0.005641","-2.60%","141.977M","14.692M","673.183M","2024-10-13 13:14:50"
"Vanar Chain USD","0.086072","-0.001288","-1.47%","139.295M","6.293M","1.618B","2024-10-13 13:14:50"
"Zentry USD","0.023084","+0.000163","+0.71%","138.497M","2.767M","6B","2024-10-13 13:14:50"
"Zignaly USD","0.095120","+0.000099","+0.10%","136.337M","810,283","1.433B","2024-10-13 13:14:50"
"Ozone Chain USD","0.237360","-0.000498","-0.21%","136.124M","214,512","573.492M","2024-10-13 13:14:50"
"STASIS EURO USD","1.0954","+0.0020","+0.18%","135.973M","364,747","124.126M","2024-10-13 13:14:50"
"JOE USD","0.366184","+0.007391","+2.06%","135.882M","11.148M","371.076M","2024-10-13 13:14:50"
"Big Time USD","0.118850","-0.000827","-0.69%","134.401M","25.882M","1.131B","2024-10-13 13:14:50"
"michi (SOL) USD","0.241168","-0.038836","-13.87%","134.034M","9.921M","555.769M","2024-10-13 13:14:50"
"Lisk USD","0.824670","-0.017301","-2.05%","133.213M","2.293M","161.535M","2024-10-13 13:14:50"
"ANDY (ETH) USD","0.000132","-0.000015","-10.23%","132.422M","1.608M","1,000B","2024-10-13 13:14:50"
"Moo Deng (moodengsol.com) USD","0.132668","-0.016938","-11.32%","131.337M","88.848M","989.972M","2024-10-13 13:14:50"
"Reef USD","0.005680","-0.001581","-21.78%","129.628M","24.358M","22.821B","2024-10-13 13:14:50"
"Merlin Chain USD","0.247190","-0.002333","-0.93%","129.775M","4.478M","525M","2024-10-13 13:14:50"
"Neiro Ethereum USD","0.129432","+0.016033","+14.14%","129.432M","77.301M","1B","2024-10-13 13:14:50"
"pzETH USD","2,910.50","+14.24","+0.49%","128.656M","188,454","44,204","2024-10-13 13:14:50"
"Axelar Wrapped Frax Eth USD","2,463.59","+36.15","+1.49%","128.528M","566","52,171","2024-10-13 13:14:50"
"Telcoin USD","0.001397","-0.000056","-3.85%","127.307M","337,679","91.149B","2024-10-13 13:14:50"
"sudeng USD","0.012745","-0.000414","-3.14%","127.452M","41.004M","10B","2024-10-13 13:14:50"
"Horizen USD","8.1782","-0.1683","-2.02%","127.039M","4.396M","15.534M","2024-10-13 13:14:50"
"Waves USD","1.0933","+0.0070","+0.64%","126.717M","14.732M","115.905M","2024-10-13 13:14:50"
"Catizen USD","0.448948","-0.004824","-1.06%","125.897M","69.368M","280.427M","2024-10-13 13:14:51"
"TerraClassicUSD USD","0.021342","-0.000303","-1.40%","124.43M","7.344M","5.83B","2024-10-13 13:14:51"
"Ontology Gas USD","0.314965","-0.011132","-3.41%","124.008M","6.504M","393.72M","2024-10-13 13:14:51"
"H2O DAO USD","0.149148","-0.000485","-0.32%","123.047M","767,499","825M","2024-10-13 13:14:51"
"API3 USD","1.4146","+0.0072","+0.51%","122.254M","9.683M","86.422M","2024-10-13 13:14:51"
"Venus ETH USD","51.20","+0.15","+0.30%","122.256M","122.3M","2.388M","2024-10-13 13:14:51"
"Metars Genesis USD","1.4423","-0.0081","-0.56%","121.491M","106,333","84.235M","2024-10-13 13:14:51"
"Mumu the Bull (SOL) USD","0.000053","-0.000003","-5.59%","121.016M","5.145M","2.283T","2024-10-13 13:14:51"
"Venus USD","7.4142","-0.1715","-2.26%","121.376M","1.142M","16.371M","2024-10-13 13:14:51"
"Telos USD","0.321154","-0.002978","-0.92%","120.617M","22.447M","375.574M","2024-10-13 13:14:51"
"Orca USD","2.2573","+0.0257","+1.15%","119.177M","997,209","52.797M","2024-10-13 13:14:51"
"Powerledger USD","0.218009","-0.007973","-3.53%","118.755M","7.139M","544.727M","2024-10-13 13:14:51"
"WAX USD","0.033690","-0.001013","-2.92%","118.193M","5.956M","3.508B","2024-10-13 13:14:51"
"MobileCoin USD","0.593749","-0.033491","-5.34%","118.178M","8.069M","199.037M","2024-10-13 13:14:51"
"Catizen USD","0.416885","-0.003811","-0.91%","116.906M","58.312M","280.427M","2024-10-13 13:14:51"
"Balancer USD","1.9458","-0.0118","-0.60%","117.283M","3.071M","60.275M","2024-10-13 13:14:51"
"0x0.ai USD","0.134762","-0.001596","-1.17%","117.05M","262,097","868.563M","2024-10-13 13:14:51"
"Drift USD","0.491030","-0.030508","-5.85%","116.953M","9.284M","238.178M","2024-10-13 13:14:51"
"IQ USD","0.006094","-0.000112","-1.81%","116.33M","4.366M","19.088B","2024-10-13 13:14:51"
"DigiByte USD","0.006706","-0.000026","-0.38%","116.03M","1.518M","17.304B","2024-10-13 13:14:51"
"Alephium USD","1.2961","+0.0179","+1.40%","115.675M","1.077M","89.252M","2024-10-13 13:14:51"
"Bitcoin Wizards USD","5.4978","-0.7587","-12.13%","115.454M","511,109","21M","2024-10-13 13:14:51"
"Taiko USD","1.4993","-0.0338","-2.20%","113.996M","23.428M","76.033M","2024-10-13 13:14:51"
"WHY USD","0.00000027","+0.00000000","+0.20%","113.385M","5.053M","420T","2024-10-13 13:14:51"
"Neutron USD","0.396092","-0.005288","-1.32%","113.01M","4.854M","285.312M","2024-10-13 13:14:51"
"Clearpool USD","0.166529","-0.025812","-13.42%","113.252M","1.238M","680.075M","2024-10-13 13:14:52"
"Nano USD","0.843683","-0.009478","-1.11%","112.419M","1.008M","133.248M","2024-10-13 13:14:52"
"World Mobile Token USD","0.225905","-0.009493","-4.03%","111.109M","4.649M","491.839M","2024-10-13 13:14:52"
"Myro USD","0.117688","-0.001552","-1.30%","111.121M","19.379M","944.204M","2024-10-13 13:14:52"
"Solidus Ai Tech USD","0.104971","-0.002659","-2.47%","110.701M","2.012M","1.055B","2024-10-13 13:14:52"
"Venus USDC USD","0.024537","+0.000005","+0.02%","110.118M","117.298M","4.488B","2024-10-13 13:14:52"
"StakeWise Staked ETH USD","2,543.82","+8.66","+0.34%","109.848M","467,031","43,182","2024-10-13 13:14:52"
"Phoenix USD","2.1071","-0.1143","-5.15%","109.64M","13.081M","52.033M","2024-10-13 13:14:52"
"IOST USD","0.005114","-0.000068","-1.30%","109.014M","4.04M","21.315B","2024-10-13 13:14:52"
"Numeraire USD","14.79","-0.31","-2.06%","108.706M","3.846M","7.349M","2024-10-13 13:14:52"
"Celer Network USD","0.013963","+0.001022","+7.90%","108.403M","48.368M","7.763B","2024-10-13 13:14:52"
"Cartesi USD","0.129227","-0.001658","-1.27%","107.787M","3.841M","834.086M","2024-10-13 13:14:52"
"Pax Dollar USD","0.999714","-0.000509","-0.05%","107.718M","395,156","107.749M","2024-10-13 13:14:52"
"Pundi X (New) USD","0.413914","-0.009534","-2.25%","106.993M","2.885M","258.492M","2024-10-13 13:14:52"
"Keep Network USD","0.111328","+0.000184","+0.17%","105.979M","9,433","951.961M","2024-10-13 13:14:52"
"BORA USD","0.096682","+0.001221","+1.28%","106.326M","5.89M","1.1B","2024-10-13 13:14:52"
"iExec RLC USD","1.4477","-0.0482","-3.22%","104.791M","2.172M","72.383M","2024-10-13 13:14:52"
"Velo USD","0.014143","+0.000219","+1.57%","104.52M","6.774M","7.39B","2024-10-13 13:14:52"
"Coin98 USD","0.124880","-0.000560","-0.45%","103.425M","4.944M","828.194M","2024-10-13 13:14:52"
"Tokenlon Network Token USD","0.890952","+0.006493","+0.73%","102.699M","369,625","115.269M","2024-10-13 13:14:52"
"Vulcan Forged (PYR) USD","2.6377","-0.0307","-1.15%","102.601M","3.045M","38.897M","2024-10-13 13:14:52"
"VVS Finance USD","0.00000218","-0.00000003","-1.54%","102.592M","89,450","47.002T","2024-10-13 13:14:52"
"ChainGPT USD","0.136593","-0.006900","-4.81%","101.662M","3.049M","744.269M","2024-10-13 13:14:53"
"Moca Network USD","0.079567","-0.001427","-1.76%","101.411M","15.772M","1.275B","2024-10-13 13:14:53"
"Coq Inu USD","0.00000146","-0.00000005","-3.48%","101.448M","3.561M","69.42T","2024-10-13 13:14:53"
"Orbs USD","0.031901","+0.000955","+3.09%","101.053M","22.667M","3.168B","2024-10-13 13:14:53"
"SLERF USD","0.200010","+0.005448","+2.80%","100.004M","56.193M","499.998M","2024-10-13 13:14:53"
"Nakamoto Games USD","1.1050","-0.0040","-0.36%","99.964M","31.679M","90.464M","2024-10-13 13:14:53"
"LCX USD","0.129518","-0.003304","-2.49%","99.934M","506,444","771.585M","2024-10-13 13:14:53"
"Marlin USD","0.012227","-0.000020","-0.17%","98.885M","3.35M","8.087B","2024-10-13 13:14:53"
"Stratis [New] USD","0.049940","-0.000590","-1.17%","98.717M","5.711M","1.977B","2024-10-13 13:14:53"
"BasedAI USD","2.8448","-0.1214","-4.09%","98.43M","1.645M","34.599M","2024-10-13 13:14:53"
"Paycoin USD","0.097481","-0.001448","-1.46%","98.244M","594,743","1.008B","2024-10-13 13:14:53"
"TrueFi USD","0.078374","-0.003473","-4.24%","98.216M","4.336M","1.253B","2024-10-13 13:14:53"
"Prom USD","5.3769","-0.1024","-1.87%","98.129M","1.543M","18.25M","2024-10-13 13:14:53"
"Hive USD","0.195624","-0.003630","-1.82%","97.959M","1.261M","500.749M","2024-10-13 13:14:53"
"Oasys USD","0.033293","+0.000027","+0.08%","97.945M","1.04M","2.942B","2024-10-13 13:14:53"
"Smooth Love Potion USD","0.002370","-0.000062","-2.55%","97.704M","4.589M","41.22B","2024-10-13 13:14:53"
"Sleepless AI USD","0.424111","-0.012090","-2.77%","96.883M","9.506M","228.438M","2024-10-13 13:14:53"
"PepeFork USD","0.00000023","+0.00000003","+16.63%","96.274M","4.004M","420.69T","2024-10-13 13:14:53"
"MVL USD","0.003751","+0.000083","+2.25%","95.841M","4.551M","25.553B","2024-10-13 13:14:53"
"Aleph Zero USD","0.359003","-0.008760","-2.38%","95.775M","490,364","266.779M","2024-10-13 13:14:53"
"Status USD","0.024441","-0.001280","-4.98%","95.469M","8.319M","3.906B","2024-10-13 13:14:53"
"dKargo USD","0.021956","-0.000368","-1.65%","94.649M","2.356M","4.311B","2024-10-13 13:14:53"
"Wrapped TAO USD","640.63","-16.64","-2.53%","93.734M","251,669","146,313","2024-10-13 13:14:53"
"Propy USD","0.936299","-0.007215","-0.76%","93.63M","1.783M","100M","2024-10-13 13:14:53"
"Mines of Dalarnia USD","0.150660","-0.002461","-1.61%","93.548M","4.367M","620.923M","2024-10-13 13:14:53"
"Ignition USD","62,534.72","-88.39","-0.14%","93.484M","155,279","1,494","2024-10-13 13:14:53"
"Synapse USD","0.500086","-0.007139","-1.41%","93.338M","3.742M","186.643M","2024-10-13 13:14:54"
"Portal USD","0.286526","-0.004496","-1.54%","92.988M","9.172M","324.537M","2024-10-13 13:14:54"
"Ark USD","0.502401","+0.010761","+2.19%","92.469M","88.584M","184.055M","2024-10-13 13:14:54"
"Tron Bull USD","0.096776","+0.002650","+2.82%","91.964M","3.194M","950.275M","2024-10-13 13:14:54"
"Bone ShibaSwap USD","0.401180","-0.008514","-2.08%","92.241M","2.2M","229.923M","2024-10-13 13:14:54"
"UPCX USD","1.8911","+0.0028","+0.15%","91.75M","2.116M","48.516M","2024-10-13 13:14:54"
"Rootstock Infrastructure Framework USD","0.091602","-0.001920","-2.05%","91.602M","987,860","1B","2024-10-13 13:14:54"
"Treasure USD","0.340305","-0.007252","-2.09%","91.066M","6.679M","267.6M","2024-10-13 13:14:54"
"BitMart Token USD","0.279206","-0.013659","-4.66%","90.541M","681,810","324.282M","2024-10-13 13:14:54"
"Staked TRX USD","0.185903","-0.001817","-0.97%","90.379M","45,070","486.164M","2024-10-13 13:14:54"
"Braintrust USD","0.384713","+0.006882","+1.82%","90.04M","53,934","234.045M","2024-10-13 13:14:54"
"UXLINK USD","0.528411","-0.024703","-4.47%","89.83M","69.017M","170M","2024-10-13 13:14:54"
"Highstreet USD","1.3137","-0.0229","-1.71%","89.784M","7.235M","68.347M","2024-10-13 13:14:54"
"Dusk USD","0.192439","-0.009072","-4.50%","89.355M","5.26M","464.328M","2024-10-13 13:14:54"
"AI Analysis Token USD","0.608007","-0.009529","-1.54%","89.006M","347,404","146.389M","2024-10-13 13:14:54"
"ANyONe Protocol USD","0.964644","-0.027569","-2.78%","88.705M","592,622","91.957M","2024-10-13 13:14:54"
"Bounce Token USD","13.46","-0.14","-0.99%","88.721M","8.035M","6.59M","2024-10-13 13:14:54"
"Symbol USD","0.014568","-0.000095","-0.65%","88.758M","132,062","6.093B","2024-10-13 13:14:54"
"Phala Network USD","0.116879","+0.003495","+3.08%","88.401M","6.856M","756.343M","2024-10-13 13:14:54"
"Satoshi Airline USD","1.0208","+0.0677","+7.10%","88.333M","264,689","86.531M","2024-10-13 13:14:54"
"Staika USD","2.0207","-0.0062","-0.31%","87.931M","305,596","43.515M","2024-10-13 13:14:54"
"DIA USD","0.794112","-0.022132","-2.71%","87.843M","10.971M","110.618M","2024-10-13 13:14:54"
"Kyber Network Crystal v2 USD","0.470329","+0.008171","+1.77%","87.429M","10.891M","185.889M","2024-10-13 13:14:54"
"DODO USD","0.120576","-0.003345","-2.70%","87.502M","5.567M","725.703M","2024-10-13 13:14:54"
"BILLION•DOLLAR•CAT USD","0.086804","-0.004315","-4.74%","86.804M","285,416","1B","2024-10-13 13:14:54"
"Dent USD","0.000870","-0.000012","-1.36%","86.95M","2.224M","100B","2024-10-13 13:14:54"
"Daddy Tate USD","0.144373","+0.000127","+0.09%","86.579M","6.296M","599.688M","2024-10-13 13:14:55"
"WINkLink USD","0.000087","-0.000001","-0.95%","86.017M","14.61M","993.702B","2024-10-13 13:14:55"
"Hooked Protocol USD","0.440348","-0.017093","-3.74%","85.867M","7.306M","194.999M","2024-10-13 13:14:55"
"Huobi Token USD","0.530807","+0.003026","+0.57%","86.115M","145,516","162.234M","2024-10-13 13:14:55"
